sents,targets,Logistic Regression,Linear SVM,Neural Net
начало_NOUN тщательно_ADVB очертить_INFN место_NOUN протечка_NOUN очень_ADVB важный_ADJS вода_NOUN аквариум_NOUN прийтись_VERB слить_INFN очень_ADVB+важный_ADJS очень_ADVB+важный_ADJS очень_ADVB+важный_ADJS,0,0,1,0
отого_NOUN циркуль_NOUN очертить_INFN окружность_NOUN дно_NOUN центр_NOUN должный_ADJS совпадать_INFN центр_NOUN внешний_ADJF контур_NOUN тарелка_NOUN,0,0,0,0
очертить_INFN круг_NOUN прошептать_VERB молитва_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,1,0
затем_ADVB щёлкнуть_VERB окно_NOUN очертить_INFN контур_NOUN компонент_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
княгиня_NOUN ольга_NOUN ввести_VERB киевский_ADJF русь_NOUN система_NOUN сбор_NOUN налог_NOUN перепись_NOUN население_NOUN очертить_INFN чёткий_ADJF граница_NOUN,0,1,1,1
подкрасить_PRTF кончик_NOUN ресница_NOUN обозначить_VERB направление_NOUN очертить_INFN глаз_NOUN большой_COMP,0,0,0,0
барный_ADJF стойка_NOUN удачно_ADVB разделить_VERB зона_NOUN чётко_ADVB очертить_INFN граница_NOUN высокий_ADJF барный_ADJF стул_NOUN стать_VERB оригинальный_ADJF элемент_NOUN декор_NOUN чётко_ADVB+очертить_INFN чётко_ADVB+очертить_INFN чётко_ADVB+очертить_INFN,0,0,0,0
частность_NOUN передний_ADJF бампер_NOUN добавить_VERB сплиттереть_VERB больший_ADJF площадь_NOUN резкий_COMP очертить_INFN боковой_ADJF порог_NOUN разместить_GRND углепластиковый_ADJF юбка_NOUN,0,0,1,0
время_NOUN калиостро_NOUN отточить_PRTF мел_NOUN очертить_INFN около_PREP кресло_NOUN сидеть_VERB алексей_NOUN алексей_NOUN большой_ADJF круг_NOUN,0,0,0,0
кроме_PREP руна_NOUN очертить_INFN круг_NOUN земля_NOUN предел_NOUN круг_NOUN весь_ADJF движение_NOUN мия_NOUN нилла_NOUN замедляться_VERB очень_ADVB сильно_ADVB где-то_ADVB давать_VERB возможность_NOUN убежать_INFN атаковать_INFN ауста_NOUN передвигаться_VERB незамедленно_ADVB сила_NOUN судить_GRND весь_ADJF полный_ADJF очертить_INFN+круг_NOUN давать_VERB+возможность_NOUN судить_GRND+весь_ADJF очертить_INFN+круг_NOUN давать_VERB+возможность_NOUN судить_GRND+весь_ADJF очертить_INFN+круг_NOUN давать_VERB+возможность_NOUN судить_GRND+весь_ADJF,0,1,1,1
определиться_VERB проходить_INFN край_NOUN дорожка_NOUN очертить_INFN граница_NOUN помощь_NOUN леска_NOUN любой_NPRO материал_NOUN удобный_ADJS очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN,0,1,1,0
сидеть_VERB однажды_ADVB царь_NOUN свой_ADJF высокий_ADJF трон_NOUN прийти_VERB дворец_NOUN посланец_NOUN далёкий_ADJF страна_NOUN единый_ADJF слово_NOUN очертить_INFN круг_NOUN вокруг_ADVB царский_ADJF трон_NOUN стать_VERB сторона_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,1,0
очертить_INFN карандаш_NOUN контур_NOUN слегка_ADVB припудрить_VERB губка_NOUN помада_NOUN быстро_ADVB смываться_VERB,0,0,0,0
очертить_INFN лист_NOUN фрагмент_NOUN должный_ADJS содержаться_VERB форма_NOUN,0,0,0,0
победитель_NOUN очертить_INFN тысяча_NOUN квадратный_ADJF километр_NOUN степь_NOUN демаркационный_ADJF линия_NOUN тысяча_NOUN тонна_NOUN герметик_NOUN вылить_VERB ядовитый_ADJF земля_NOUN вертолёт_NOUN человек_NOUN зверь_NOUN ступить_PRTF изнутри_ADVB вспахать_PRTF полоса_NOUN огнемёт_NOUN бдительно_ADVB превращать_VERB головешка_NOUN тысяча_NOUN+тонна_NOUN тысяча_NOUN+тонна_NOUN тысяча_NOUN+тонна_NOUN,0,0,0,0
планировать_VERB сделать_INFN максимальный_ADJF глубина_NOUN 1_NUMR метр_NOUN визуально_ADVB очертить_INFN круг_NOUN необходимый_ADJF диаметр_NOUN центр_NOUN самый_ADJF глубокий_ADJF точка_NOUN копать_VERB начинать_GRND максимально_ADVB глубокий_ADJF место_NOUN постепенно_ADVB подниматься_GRND вверх_ADVB очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,0,0
резко_ADVB обозначить_VERB тенить_VERB очертить_INFN угол_NOUN предмет_NOUN,0,0,1,0
растопить_VERB свеча_NOUN помощь_NOUN ватный_ADJF палочка_NOUN очертить_INFN пятно_NOUN горячее_NOUN воск_NOUN,0,0,0,0
аргумент_NOUN принять_INFN трудно_ADVB страна_NOUN обещать_PRTS авраhаму_NOUN потомок_NOUN всевышний_NOUN очертить_INFN предел_NOUN предсказать_VERB поколение_NOUN потомок_NOUN авраhама_NOUN вернуться_VERB нея_NOUN частность_NOUN указать_VERB произойти_VERB ранее_ADVB переполниться_VERB мера_NOUN грех_NOUN эморей_NOUN 15_NUMR 16_NUMR очертить_INFN+предел_NOUN очертить_INFN+предел_NOUN очертить_INFN+предел_NOUN,0,1,1,1
верховный_ADJF судья_NOUN снять_VERB шея_NOUN ляпис_NOUN трубецкой_NOUN манифест_NOUN скачать_INFN очертить_INFN имя_NOUN ковёр_NOUN мгновенно_ADVB засиять_PRTF круг_NOUN,0,0,0,0
очертить_INFN сапог_NOUN место_NOUN рыть_INFN колодец_NOUN поставить_VERB сторонка_NOUN походный_ADJF палатка_NOUN разложить_VERB карта_NOUN чертёж_NOUN,0,0,0,0
вокруг_ADVB ям_NOUN ромул_NOUN помощь_NOUN плуг_NOUN запрячь_VERB бык_NOUN корова_NOUN очертить_INFN граница_NOUN город_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN,0,0,1,0
смочить_VERB правый_NOUN указательный_ADJF палец_NOUN масло_NOUN очертить_INFN круг_NOUN вокруг_ADVB произнести_VERB силой_ADVB запрашивать_VERB власть_NOUN бог_NOUN даровать_VERB сила_NOUN процветание_NOUN указательный_ADJF+палец_NOUN очертить_INFN+круг_NOUN указательный_ADJF+палец_NOUN очертить_INFN+круг_NOUN указательный_ADJF+палец_NOUN очертить_INFN+круг_NOUN,0,0,0,0
джонни_NOUN вогнать_VERB земля_NOUN стальной_ADJF стержень_NOUN затем_ADVB привязать_GRND верёвка_NOUN очертить_INFN циркуль_NOUN круг_NOUN,0,0,0,0
очертить_INFN кругом_ADVB чирей_NOUN перст_NOUN трижды_ADVB,0,0,0,0
отныне_ADVB очертить_INFN воздух_NOUN круг_NOUN весь_ADJF остальной_ADJF мир_NOUN,0,0,1,0
нанести_VERB шаблон_NOUN покрытие_NOUN очертить_INFN контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
зажечь_VERB свечка_NOUN очертить_INFN магический_ADJF круг_NOUN затем_ADVB повторять_VERB следующий_ADJF слово_NOUN дух_NOUN настоящий_ADJF удача_NOUN прийти_VERB помощь_NOUN,0,1,1,1
далее_ADVB приложить_VERB ранее_ADVB заготовить_PRTF шаблон_NOUN строгать_PRTF заготовка_NOUN очертить_INFN контур_NOUN деталь_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,1,1,0
среда_NOUN ясный_ADJF ночь_NOUN очертить_INFN земля_NOUN вокруг_ADVB осиновый_ADJF кол_NOUN,0,0,0,0
ухмыльнуться_VERB зловеще_ADVB очертить_INFN вокруг_ADVB замысловатый_ADJF фигура_NOUN сдвинуть_PRTF щепотка_NOUN палец_NOUN очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB,0,0,1,0
найти_VERB весь_ADJF стоматологический_ADJF клиника_NOUN трехкилометровый_ADJF зона_NOUN взять_VERB карта_NOUN очертить_INFN круг_NOUN нанести_VERB весь_ADJF салон_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,0,0
впитаться_VERB очертить_INFN контур_NOUN губа_NOUN карандаш_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
принцип_NOUN шар_NOUN включать_VERB концепция_NOUN круговой_ADJF защита_NOUN нанесение_NOUN удар_NOUN различный_ADJF круговой_ADJF траектория_NOUN вместе_ADVB траектория_NOUN образовать_VERB замкнутый_ADJF сфера_NOUN очертить_INFN круг_NOUN сделать_VERB продолжение_NOUN пусть_CONJ сила_NOUN хранить_VERB целостность_NOUN хранить_VERB собственный_ADJF тело_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,1,0
полка_NOUN очертить_INFN специальный_ADJF место_NOUN оттенить_INFN красота_NOUN,0,1,1,1
однако_CONJ аппаратный_ADJF косметология_NOUN лицо_NOUN смысл_NOUN воспользоваться_INFN взамен_ADVB пластический_ADJF операция_NOUN необходимость_NOUN подтянуть_INFN лицевой_ADJF мышца_NOUN очертить_INFN чёткий_ADJF контур_NOUN лицо_NOUN избавиться_INFN морщина_NOUN кожный_ADJF несовершенство_NOUN пигментный_ADJF пятно_NOUN купероза_NOUN шрам_NOUN рубец_NOUN,0,1,1,1
неожиданно_ADVB выхватить_VERB штык_NOUN очертить_INFN квадрат_NOUN поверхность_NOUN дёрн_NOUN,0,0,0,0
грубый_ADJF материал_NOUN нарисовать_PRTF место_NOUN следовать_VERB очертить_INFN изнаночный_ADJF сторона_NOUN новый_ADJF слой_NOUN смесь_NOUN изнаночный_ADJF+сторона_NOUN изнаночный_ADJF+сторона_NOUN изнаночный_ADJF+сторона_NOUN,0,0,1,0
контур_NOUN рисунок_NOUN очертить_INFN воск_NOUN лицевой_ADJF изнаночный_ADJF сторона_NOUN изнаночный_ADJF+сторона_NOUN изнаночный_ADJF+сторона_NOUN изнаночный_ADJF+сторона_NOUN,0,0,0,0
очертить_INFN граница_NOUN губа_NOUN контурный_ADJF карандаш_NOUN цвета_NOUN тон_NOUN тёмный_COMP цвет_NOUN губа_NOUN сверху_ADVB нанести_INFN непосредственно_ADVB блеск_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN,0,0,0,0
очертить_INFN губа_NOUN карандаш_NOUN оттенок_NOUN тёмный_COMP помада_NOUN знать_VERB выглядеть_VERB неестественно_ADVB старомодно_ADVB,0,0,0,0
запад_NOUN светлый_ADJF линия_NOUN очертить_INFN вершина_NOUN гора_NOUN стать_VERB чёрный_NOUN плоский_ADJF резной_ADJF дворцовый_ADJF фасад_NOUN,0,0,0,0
например_CONJ элемент_NOUN перегнуть_VERB несколько_NUMR место_NOUN контур_NOUN минимум_NOUN очертить_INFN форма_NOUN весь_ADJF блоковый_ADJF элемент_NOUN,0,0,0,0
новый_ADJF модель_NOUN надувной_ADJF кровать_NOUN высокий_ADJF кровать_NOUN королевский_ADJF размер_NOUN ортопедический_ADJF прокладка_NOUN эффект_NOUN память_NOUN высокотехнологичный_ADJF пена_NOUN память_NOUN очертить_INFN контур_NOUN тело_NOUN хороший_ADJF сон_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
точно_ADVB вырезать_INFN дно_NOUN положить_VERB лист_NOUN фанера_NOUN собранный_ADJF каркас_NOUN ящик_NOUN карандаш_NOUN очертить_INFN внутренний_ADJF контур_NOUN,0,0,0,0
карандаш_NOUN стол_NOUN очертить_INFN угол_NOUN стойка_NOUN мостик_NOUN знать_INFN находиться_VERB,0,0,1,0
колдун_NOUN очертить_INFN вокруг_ADVB свой_ADJF помощник_NOUN круг_NOUN начать_VERB насылать_INFN бешт_NOUN дикий_ADJF звереть_VERB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB,0,0,0,0
очертить_INFN круг_NOUN прошептать_VERB молитва_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,1,0
помощь_NOUN угольник_NOUN очертить_INFN вырезать_VERB контур_NOUN ножовка_NOUN,0,0,0,0
шаман_NOUN очертить_INFN круг_NOUN край_NOUN стойбище_NOUN указание_NOUN стать_VERB устанавливать_INFN костя_NOUN новый_ADJF яранга_NOUN пастух_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,1,1,1
горилла_NOUN меиг_NOUN пытаться_VERB очертить_INFN собственный_ADJF тень_NOUN стена_NOUN,0,0,1,0
следовать_VERB очертить_INFN контур_NOUN изображение_NOUN маскировать_PRTF область_NOUN остаться_VERB наблюдать_INFN программа_NOUN сделать_VERB свой_ADJF дело_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,1,1,1
общий_ADJF собрание_NOUN выбирать_VERB лошадка_NOUN девственница_NOUN беременный_ADJF запрягать_VERB соха_NOUN лошадка_NOUN должный_ADJS очертить_INFN магический_ADJF круг_NOUN вокруг_ADVB деревня_NOUN считаться_VERB коровий_ADJF смерть_NOUN смочь_VERB пересечь_INFN круг_NOUN+вокруг_ADVB круг_NOUN+вокруг_ADVB круг_NOUN+вокруг_ADVB,0,0,1,0
быстро_ADVB очертить_INFN защитный_ADJF круг_NOUN всякий_ADJF случай_NOUN прикрыть_VERB глаз_NOUN рука_NOUN всякий_ADJF+случай_NOUN всякий_ADJF+случай_NOUN всякий_ADJF+случай_NOUN,0,1,1,0
палец_NOUN пол_NOUN очертить_INFN воображать_PRTF прямоугольник_NOUN размер_NOUN маленький_ADJF балкон_NOUN,0,0,0,0
очертить_INFN квадрат_NOUN вокруг_ADVB захватить_PRTF событие_NOUN установить_INFN прибор_NOUN вхождение_NOUN настройка_NOUN каждый_ADJF канал_NOUN отдельно_ADVB,0,1,1,1
кисть_NOUN губа_NOUN иметь_VERB прямоугольный_ADJF форма_NOUN помощь_NOUN быстро_ADVB профессионально_ADVB очертить_INFN контур_NOUN губа_NOUN также_CONJ ровный_ADJF однородный_ADJF слой_NOUN нанести_INFN помада_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
дело_NOUN очертить_INFN большой_ADJF прямоугольник_NOUN рам_NOUN свой_ADJF набросок_NOUN,0,0,1,0
оставить_VERB свой_ADJF обитель_NOUN охранять_PRTF волшебный_ADJF силой_ADVB взять_VERB свежеостругать_PRTF быстро_ADVB палочка_NOUN очертить_INFN подушка_NOUN лежалый_ADJS больший_ADJF кругом_ADVB внутри_PREP круг_NOUN начертать_VERB несколько_ADVB символ_NOUN,0,0,1,0
декор_NOUN коллекция_NOUN отлично_ADVB вписываться_VERB помогать_GRND очертить_INFN прямоугольный_ADJF панно_NOUN,0,0,1,0
нанести_VERB веко_NOUN светлый_ADJF тенить_VERB очертить_INFN контур_NOUN глаз_NOUN подводка_NOUN среднее_NOUN оттенок_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
затем_ADVB щёлкнуть_VERB окно_NOUN очертить_INFN контур_NOUN компонент_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
начало_NOUN нужно_PRED очертить_INFN глаз_NOUN равно_CONJ длина_NOUN глаз_NOUN помощь_NOUN умелый_ADJF коррекция_NOUN,0,0,1,0
носильщик_NOUN поставить_VERB катафалк_NOUN гроб_NOUN земля_NOUN геомант_NOUN компас_NOUN лента_NOUN рука_NOUN последний_ADJF очертить_INFN помощь_NOUN следователь_NOUN место_NOUN погребение_NOUN поставить_VERB угол_NOUN могила_NOUN жертва_NOUN дух_NOUN земля_NOUN,0,1,1,0
едва_ADVB секундный_ADJF стрелка_NOUN успеть_VERB очертить_INFN круг_NOUN брянец_NOUN сфолили_NOUN штрафной_ADJF очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,0,0
очертить_INFN магический_ADJF кругом_ADVB очень_ADVB тесно_ADVB заметить_VERB граница_NOUN переступить_VERB хитро_ADVB овладеть_INFN сердце_NOUN скользкий_ADJF непрочный_ADJF обладание_NOUN ум_NOUN волей_ADVB подчинить_INFN вкус_NOUN нрав_NOUN свой_ADJF смотреть_VERB вещий_ADJS думать_VERB ум_NOUN,0,1,1,1
прежде_ADVB наносить_INFN губный_ADJF помада_NOUN нужно_PRED очертить_INFN контур_NOUN светлый_ADJF подводка_NOUN кремовый_ADJF цвет_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN очертить_INFN+контур_NOUN,0,0,0,0
сжигать_INFN нужно_PRED способ_NOUN разжечь_INFN костёр_NOUN тонкий_ADJF ветка_NOUN ветка_NOUN очертить_INFN круг_NOUN вокруг_ADVB костра_NOUN слово_NOUN имя_NOUN отец_NOUN сын_NOUN святой_ADJF дух_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,0,0
тень_NOUN козырёк_NOUN закрыть_VERB глаз_NOUN зато_CONJ скульптурный_ADJS выпукло_ADVB очертить_INFN рота_NOUN подбородок_NOUN резкий_ADJF складка_NOUN губа_NOUN,0,0,0,0
горный_ADJF рельеф_NOUN густой_ADJF лес_NOUN красный_ADJF карандаш_NOUN резко_ADVB очертить_INFN круг_NOUN искать_INFN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,0,0,0
приступить_INFN исправление_NOUN проблема_NOUN дело_NOUN следовать_VERB очертить_INFN просесть_PRTF участок_NOUN,0,1,1,1
кое-что_NPRO посмотреть_VERB напридумывать_VERB вытащить_GRND блокнот_NOUN начало_NOUN очертить_INFN карандаш_NOUN круг_NOUN быстро_ADVB зарисовать_VERB самый_ADJF крупный_ADJF элемент_NOUN хитрый_ADJF замок_NOUN,0,1,1,1
текстовый_ADJF слоить_VERB применить_INFN фильтр_NOUN очертить_INFN текст_NOUN заполнить_INFN текст_NOUN градиент_NOUN рисунок_NOUN,0,1,1,1
подкрасить_PRTF кончик_NOUN ресница_NOUN обозначить_VERB направление_NOUN очертить_INFN глаз_NOUN большой_COMP,0,0,0,0
бояться_VERB ножик_NOUN прийти_VERB церковь_NOUN очертить_INFN около_PREP круг_NOUN читать_VERB псалтырь_NOUN назад_ADVB оглядываться_VERB,0,0,1,0
вечером_ADVB прийти_VERB мальчик_NOUN церковь_NOUN очертить_INFN нож_NOUN около_PREP круг_NOUN приняться_VERB псалтырь_NOUN,0,0,1,0
отсутствие_NOUN коронка_NOUN очертить_INFN место_NOUN крепление_NOUN светильник_NOUN вырезать_INFN нож_NOUN гипрок_NOUN,0,1,1,1
наметить_PRTS установить_INFN потолок_NOUN розетка_NOUN очертить_INFN круг_NOUN соответствующий_ADJF диаметр_NOUN будущий_ADJF розетка_NOUN помощь_NOUN бечёвка_NOUN привязать_PRTF карандаш_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN очертить_INFN+круг_NOUN,0,1,1,1
определить_PRTS редкий_ADJF уникальный_ADJF вид_NOUN очертить_INFN граница_NOUN будущий_ADJF особо_ADVB охранять_PRTF территория_NOUN подготовить_INFN паспорт_NOUN памятник_NOUN природа_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN,0,0,0,0
роланд_NOUN размахнуться_VERB ружьё_NOUN двигаться_GRND снизу_ADVB вверх_ADVB силой_ADVB очертить_INFN воздух_NOUN крутой_ADJF дуга_NOUN,0,0,1,0
дать_PRTF случай_NOUN хороший_ADJF вариант_NOUN светлый_ADJF число_NOUN блестящий_ADJF тенить_VERB участок_NOUN складка_NOUN век_NOUN бровь_NOUN оттенить_INFN цветной_ADJF тень_NOUN гармонировать_PRTF основный_ADJF тон_NOUN макияж_NOUN цвет_NOUN глаз_NOUN контур_NOUN очертить_INFN неяркий_ADJF подводка_NOUN внешний_ADJF угол_NOUN глаз_NOUN середина_NOUN верхний_ADJF нижний_ADJF век_ADVB тушь_NOUN также_CONJ должный_ADJS ярка_NOUN массивный_ADJF обратить_VERB внимание_NOUN бровь_NOUN случай_NOUN должный_ADJS аккуратный_ADJF чёткий_ADJF линия_NOUN яркий_ADJF тяжёлый_ADJF дать_PRTF+случай_NOUN обратить_VERB+внимание_NOUN дать_PRTF+случай_NOUN обратить_VERB+внимание_NOUN дать_PRTF+случай_NOUN обратить_VERB+внимание_NOUN,0,0,0,0
хороший_COMP использовать_INFN угольный_ADJF карандаш_NOUN чётко_ADVB очертить_INFN мелкий_ADJF деталь_NOUN придать_VERB картина_NOUN законченность_NOUN филигранность_NOUN чётко_ADVB+очертить_INFN чётко_ADVB+очертить_INFN чётко_ADVB+очертить_INFN,0,1,1,1
мнение_NOUN владимир_NOUN лисовский_ADJF совет_NOUN должный_ADJS очертить_INFN граница_NOUN архитектурный_ADJF ансамбль_NOUN территория_NOUN мочь_VERB новое_NOUN строительство_NOUN занять_VERB 2_NUMR 3_NUMR процент_NOUN площадь_NOUN город_NOUN очертить_INFN+граница_NOUN 2_NUMR+3_NUMR очертить_INFN+граница_NOUN 2_NUMR+3_NUMR очертить_INFN+граница_NOUN 2_NUMR+3_NUMR,0,1,1,1
обнаружить_VERB подклад_NOUN вид_NOUN мёртвый_NOUN животное_NOUN очертить_INFN вокруг_ADVB мел_NOUN окружность_NOUN поставить_VERB контур_NOUN весь_ADJF сторона_NOUN свет_NOUN маленькая_NOUN аромалампа_NOUN свеча_NOUN произнести_VERB послать_VERB получить_VERB нажелать_VERB исполнить_VERB сказать_VERB услышать_VERB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB,0,0,0,0
почему_ADVB власть_NOUN задумать_VERB расширить_INFN столица_NOUN именно_PRCL трапециевидный_ADJF образ_NOUN вместо_PREP просто_PRCL очертить_INFN вокруг_ADVB город_NOUN кольцо_NOUN больший_ADJF радиус_NOUN понятно_ADVB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB,0,1,1,1
гиалуроновый_ADJF кислота_NOUN ввести_PRTF область_NOUN губа_NOUN вокруг_ADVB рот_NOUN позволять_VERB одновременно_ADVB чётко_ADVB очертить_INFN губа_NOUN заметно_ADVB увеличить_INFN объесть_VERB сгладить_GRND мимический_ADJF морщина_NOUN чётко_ADVB+очертить_INFN чётко_ADVB+очертить_INFN чётко_ADVB+очертить_INFN,0,0,1,0
обнаружить_GRND куст_NOUN папоротник_NOUN нужно_PRED очертить_INFN вокруг_ADVB круг_NOUN возле_ADVB растение_NOUN расстелить_INFN скатерть_NOUN сесть_GRND северный_ADJF сторона_NOUN круг_NOUN устремить_INFN взгляд_NOUN растение_NOUN очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB,0,0,0,0
вспомнить_VERB люба_NOUN сказка_NOUN защититься_INFN чёрный_NOUN сила_NOUN нужно_PRED очертить_INFN вокруг_ADVB круг_NOUN ещё_PRCL доказывать_VERB сказка_NOUN просто_PRCL детский_ADJF история_NOUN создать_PRTF развлечение_NOUN описание_NOUN древние_NOUN миф_NOUN обряд_NOUN условие_NOUN смена_NOUN религия_NOUN культурный_ADJF ценность_NOUN очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB очертить_INFN+вокруг_ADVB,0,1,1,1
рассматривать_GRND очертание_NOUN распространяться_PRTF воздух_NOUN дым_NOUN денис_NOUN очертить_INFN рука_NOUN невидимый_ADJF контур_NOUN,0,0,0,0
палец_NOUN очертить_INFN овал_NOUN слегка_ADVB потёртый_ADJF сгиб_NOUN карта_NOUN,0,0,0,0
простой_COMP взять_VERB лист_NOUN бумага_NOUN очертить_INFN задать_PRTF размер_NOUN весь_ADJF вместить_INFN расположить_INFN бумага_NOUN начать_VERB прокладывать_INFN жгут_NOUN провод_NOUN разъём_NOUN блок_NOUN особый_ADJF внимание_NOUN обратить_VERB наличие_NOUN состояние_NOUN весь_ADJF положить_PRTF разъём_NOUN,0,1,1,1
нажать_VERB клавиш_NOUN очертить_INFN курсор_NOUN окно_NOUN просмотр_NOUN рамка_NOUN рис_NOUN,0,1,1,1
большой_ADJF помещение_NOUN мочь_VERB визуально_ADVB поделить_PRTS отдельный_ADJF зона_NOUN помощь_NOUN потолок_NOUN свой_ADJF форма_NOUN очертить_INFN граница_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN очертить_INFN+граница_NOUN,0,0,1,0
подготовка_NOUN укладка_NOUN начало_NOUN работа_NOUN очертить_INFN поверхность_NOUN облицовываться_INFN затем_ADVB правильно_ADVB расположить_INFN мозаика_NOUN,0,0,0,0
постройка_NOUN боскет_NOUN наиболее_ADVB подойти_VERB бывший_ADJF детский_ADJF площадка_NOUN вокруг_ADVB необходимый_ADJS очертить_INFN квадрат_NOUN,0,0,0,0
возвышенность_NOUN очертить_INFN эллипс_NOUN место_NOUN находиться_VERB момент_NOUN активность_NOUN лёд_NOUN значительно_ADVB ниже_PREP хотя_CONJ школьный_ADJF здание_NOUN расположить_PRTS плавательный_ADJF бассейн_NOUN обледенеть_VERB значительно_ADVB большой_COMP соседний_ADJF строение_NOUN,0,1,1,1
кроме_PREP нужно_PRED закрепить_INFN внутри_PREP короб_NOUN брусок_NOUN очертить_INFN свод_NOUN ниша_NOUN дрова_NOUN,0,0,0,0
положить_VERB лист_NOUN ковролин_NOUN также_CONJ прижимать_GRND очертить_INFN мел_NOUN стык_NOUN арка_NOUN боковина_NOUN задний_ADJF стенка_NOUN багажник_NOUN соединение_NOUN полый_ADJS передний_ADJF стенка_NOUN багажник_NOUN пассажирский_ADJF сидение_NOUN тоннель_NOUN карданный_ADJF вала_NOUN,0,0,0,0
таловка_NOUN поймать_PRTS мальчик_NOUN 14_NUMR год_NOUN амбар_NOUN лежать_VERB труп_NOUN отрубить_INFN труп_NOUN рука_NOUN нога_NOUN 14_NUMR+год_NOUN рука_NOUN+нога_NOUN 14_NUMR+год_NOUN рука_NOUN+нога_NOUN 14_NUMR+год_NOUN рука_NOUN+нога_NOUN,0,0,1,0
обвинять_PRTF показать_VERB поутру_ADVB пойти_VERB отрубить_INFN нога_NOUN мужчина_NOUN принести_VERB домой_ADVB валенок_NOUN снять_VERB мясо_NOUN начать_VERB варить_INFN,0,0,0,0
единственный_ADJF разница_NOUN дик_NOUN запад_NOUN забыть_VERB улыбнуться_INFN башка_NOUN отрубить_INFN япония_NOUN отстрелить_VERB кольт_NOUN <NUM_UINT>-го_NUMR калибр_NOUN,0,0,1,1
пётр_NOUN собственноручно_ADVB отрубить_INFN голова_NOUN отрубить_INFN+голова_NOUN отрубить_INFN+голова_NOUN отрубить_INFN+голова_NOUN,0,0,1,0
суд_NOUN долгорукий_ADJF собрать_VERB специальный_ADJF собрание_NOUN 12_NUMR ноябрь_NOUN 1739_NUMR год_NOUN выйти_VERB именной_ADJF указ_NOUN анна_NOUN старательно_ADVB перечисляться_VERB иван_NOUN алексей_NOUN отрубить_INFN голов_NOUN отрубить_INFN+голов_NOUN отрубить_INFN+голов_NOUN отрубить_INFN+голов_NOUN,0,1,1,1
волынский_ADJF конфидент_NOUN действительно_ADVB отрубить_INFN голова_NOUN отрубить_INFN+голова_NOUN отрубить_INFN+голова_NOUN отрубить_INFN+голова_NOUN,0,1,1,1
